id,password,age,gender,occupation,zipcode
1,123456,13,M,student,85711
2,123456,53,F,other,94043
3,123456,23,M,writer,32067
4,123456,24,M,technician,43537
5,123456,33,F,other,15213
6,123456,42,M,executive,98101
7,123456,57,M,administrator,91344
8,123456,36,M,administrator,5201
9,123456,29,M,student,1002
10,123456,53,M,lawyer,90703
11,123456,39,F,other,30329
12,123456,28,F,other,6405
13,123456,47,M,educator,29206
14,123456,45,M,scientist,55106
15,123456,49,F,educator,97301
16,123456,21,M,entertainment,10309
17,123456,30,M,programmer,6355
18,123456,35,F,other,37212
19,123456,40,M,librarian,2138
20,123456,42,F,homemaker,95660
21,123456,26,M,writer,30068
22,123456,25,M,writer,40206
23,123456,30,F,artist,48197
24,123456,21,F,artist,94533
25,123456,39,M,engineer,55107
26,123456,49,M,engineer,21044
27,123456,40,F,librarian,30030
28,123456,32,M,writer,55369
29,123456,41,M,programmer,94043
30,123456,7,M,student,55436
31,123456,24,M,artist,10003
32,123456,28,F,student,78741
33,123456,23,M,student,27510
34,123456,38,F,administrator,42141
35,123456,20,F,homemaker,42459
36,123456,19,F,student,93117
37,123456,23,M,student,55105
38,123456,28,F,other,54467
39,123456,41,M,entertainment,1040
40,123456,38,M,scientist,27514
41,123456,33,M,engineer,80525
42,123456,30,M,administrator,17870
43,123456,29,F,librarian,20854
44,123456,26,M,technician,46260
45,123456,29,M,programmer,50233
46,123456,27,F,marketing,46538
47,123456,53,M,marketing,7102
48,123456,45,M,administrator,12550
49,123456,23,F,student,76111
50,123456,21,M,writer,52245
51,123456,28,M,educator,16509
52,123456,18,F,student,55105
53,123456,26,M,programmer,55414
54,123456,22,M,executive,66315
55,123456,37,M,programmer,1331
56,123456,25,M,librarian,46260
57,123456,16,M,none,84010
58,123456,27,M,programmer,52246
59,123456,49,M,educator,8403
60,123456,50,M,healthcare,6472
61,123456,36,M,engineer,30040
62,123456,27,F,administrator,97214
63,123456,31,M,marketing,75240
64,123456,32,M,educator,43202
65,123456,51,F,educator,48118
66,123456,23,M,student,80521
67,123456,17,M,student,60402
68,123456,19,M,student,22904
69,123456,24,M,engineer,55337
70,123456,27,M,engineer,60067
71,123456,39,M,scientist,98034
72,123456,48,F,administrator,73034
73,123456,24,M,student,41850
74,123456,39,M,scientist,T8H1N
75,123456,24,M,entertainment,8816
